gene_id,gene_short_name,PS_cEpiblast,NP_Epiblast,Induced_5hrs,Induced_9hrs,Induced_12hrs,FC_0hrs,FC_5hrs,FC_9hrs,FC_12hrs,FC_PS,FC_NP
ENSGALG00000038915,E2F5,19.7023,16.5951,13.1253,12.7268,12.7923,1.370658194,0.95654994,1.754092418,1.550713394,0.93850866,1.251128987
ENSGALG00000038948,KDM5B,77.238,81.5431,69.5411,76.1515,61.3171,0.593975361,1.700737121,1.642541305,1.520833075,1.576742648,1.708445947
ENSGALG00000039040,PAX1,0.127697,0.131864,0.237085,0.430782,0.50643,0.327566063,1.455679104,3.176225973,0.50643,0.138209191,0.131864
ENSGALG00000039048,ZNF282,5.53495,5.35688,3.45571,3.50231,3.59385,0.875177605,1.100951307,1.05878743,1.463115255,1.393155229,1.035944622
ENSGALG00000039051,HOXC6,0.0521834,0,0,0,0,1,0,0,0,0.0521834,0
ENSGALG00000039102,TOX,0,1.44013,0.104573,0.252331,1.3067,0,0.104573,0.252331,1.3067,0,1.44013
ENSGALG00000039118,MEIS2,5.19535,24.9753,14.02,36.892,39.0388,0.01775485,77.5712776,23.18589188,18.59831829,2.491404156,3.356056147
ENSGALG00000039155,ZHX3,0.650329,1.21828,0.961235,1.39213,0.937218,0.903304603,0.76263071,0.760992916,0.557721787,0.933413806,1.495721354
ENSGALG00000039206,ARID5A,6.89254,3.60132,4.80486,5.40078,3.13251,0.57117377,1.451781619,1.282136015,0.964098413,1.058181612,2.255053225
ENSGALG00000039238,SALL1,16.3854,67.4581,64.1774,69.9305,66.5998,0.490786476,1.343683198,2.714124368,3.762551763,0.551116164,2.27396563
ENSGALG00000039292,UNCX,0.349357,0,0,0,0.0611596,0.122013,0,0,0.0611596,1.128512499,0
ENSGALG00000039300,NFAT5,8.80858,18.4996,22.432,29.5466,19.0224,1.716329351,0.450354048,0.668157663,0.428549222,0.560773878,0.881642846
ENSGALG00000039336,CRX,0,0.101732,0,0,0.0501799,1,0,0,0.0501799,0,2.871562689
ENSGALG00000039409,RELA,37.5429,23.8304,20.6675,21.1177,19.3387,0.87358413,1.11021283,1.043772026,1.062478367,1.091566454,0.851757995
ENSGALG00000039436,DLX2,3.11982,5.66567,0.615342,2.34314,3.01032,1.313667846,0.615342,2.34314,12.33752874,7.093692161,4.959618684
ENSGALG00000039454,SP4,8.17367,17.0003,12.9908,14.6165,16.4665,0.666695662,1.359831848,2.405018511,2.699395253,1.206533019,3.005519451
ENSGALG00000039474,ID4,9.42678,7.81119,10.2394,19.8663,18.7407,2.419096822,0.228525389,0.359064776,0.348618785,0.601980894,0.118626181
ENSGALG00000039497,TFAP2E,0.0504971,0.0625578,0.562126,0.737592,1.26124,3.381039126,0.041253926,0.020666513,0.027213391,0.193505135,0.002841896
ENSGALG00000039583,MITF,0.98886,3.38936,2.1784,1.5679,1.92059,2.295138634,0.624532332,0.569460032,0.558035273,0.40517916,1.220274055
ENSGALG00000039605,CREBZF,1.12077,2.29842,0.848622,1.21503,0.456911,1.789618935,0.922018349,1.966169769,0.800089305,0.768208425,1.564253338
ENSGALG00000039629,HOXD11,0,0,0,0,0,1,0,0,0,0,0
ENSGALG00000039633,NEUROD2,0.0262925,0.0434313,0,0.0590912,0.0320416,1,0,0.0590912,0.0320416,0.0262925,0.0434313
